[E 2026-01-20 22:23:02,188 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,424 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,519 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,561 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,606 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,667 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,710 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,751 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,835 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:02,919 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,001 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,043 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,082 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,125 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,165 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,207 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,251 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,445 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,498 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,542 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,581 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,623 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,685 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:23:03,729 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,118 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,160 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,222 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,303 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,386 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,467 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,551 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,612 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,675 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,756 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,819 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,900 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:04,940 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,001 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,050 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,114 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,212 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
[E 2026-01-20 22:24:05,273 D:\Miniconda3\Lib\site-packages\shioaji\utils.py:49:raise_resp_error] {'status': {'status_code': 500}, 'response': {'detail': 'Internal Server Error'}}
