stock_code,bias,prev_high,strategy_tag,data_date
8176,0.009693679720821968,10.95,bias|ma_conv,2026-01-30
3088,0.056144901039562975,83.7,ma_conv,2026-01-30
1417,-0.007908794050472838,8.84,bias|ma_conv,2026-01-30
1730,0.003534460994698188,53.0,bias|ma_conv,2026-01-30
00847B,-0.0067880931629206885,26.03,bias|ma_conv,2026-01-30
8443,0.01462117855560487,11.5,bias|ma_conv,2026-01-30
6593,-0.08306503541532521,36.0,bias|ma_conv,2026-01-30
6592,-0.01767320828363872,61.9,bias|ma_conv,2026-01-30
3661,-0.06843870326667499,3280.0,bias|ma_conv,2026-01-30
6844,0.0,69.1,ma_conv,2026-01-30
00895,0.06459640540253112,41.85,ma_conv,2026-01-30
1409,-0.015529824946496332,15.25,bias|ma_conv,2026-01-30
2010,0.044637446980408044,21.95,ma_conv,2026-01-30
6861,0.03417143169817522,63.5,ma_conv,2026-01-30
1563,0.03562784938368877,46.4,ma_conv,2026-01-30
4735,0.0,33.55,ma_conv,2026-01-30
7730,0.05937222386733801,98.2,ma_conv,2026-01-30
2539,-0.0006500693993008939,48.0,bias|ma_conv,2026-01-30
6174,0.009576862909687586,22.35,bias|ma_conv,2026-01-30
4523,-0.03279692633220121,29.5,bias|ma_conv,2026-01-30
6109,-0.02924704418170526,11.8,bias|ma_conv,2026-01-30
6614,0.0,47.85,ma_conv,2026-01-30
00669R,-0.013037011112083377,5.64,bias|ma_conv,2026-01-30
2890,0.019335293593513336,29.1,bias|ma_conv,2026-01-30
8442,-0.012602558342988231,70.7,bias|ma_conv,2026-01-30
3230,-0.3050496237321409,29.85,bias,2026-01-30
2637,0.042362885787300984,72.5,ma_conv,2026-01-30
1598,-0.06703039750584569,20.3,bias|ma_conv,2026-01-30
8112,0.1331115922941266,85.5,ma_conv,2026-01-30
6625,-0.009352816720384486,84.4,bias|ma_conv,2026-01-30
1504,-0.08268540669856461,83.9,bias|ma_conv,2026-01-30
2471,0.0035559067562228315,52.0,bias|ma_conv,2026-01-30
8921,0.0,18.8,ma_conv,2026-01-30
5284,-0.07689607768580546,271.0,bias|ma_conv,2026-01-30
4572,-0.035957670785085036,147.0,bias|ma_conv,2026-01-30
00946,0.030151176282644264,10.35,ma_conv,2026-01-30
2852,-0.02195488721804502,27.4,bias|ma_conv,2026-01-30
2342,0.05383978859141004,34.5,ma_conv,2026-01-30
00950B,-0.004482738545729773,14.25,bias|ma_conv,2026-01-30
5258,-0.1485222596333708,59.4,bias|ma_conv,2026-01-30
4968,-0.09482758620689656,122.5,bias|ma_conv,2026-01-30
6456,-0.09162885005310416,39.9,bias|ma_conv,2026-01-30
3095,0.0,30.75,ma_conv,2026-01-30
3390,-0.009511315185306709,23.0,bias|ma_conv,2026-01-30
6642,0.01926313820834115,55.4,bias|ma_conv,2026-01-30
7556,0.0013188596936187596,165.0,bias|ma_conv,2026-01-30
01001T,0.0,11.83,ma_conv,2026-01-30
6994,-0.05156914751588729,93.0,bias|ma_conv,2026-01-30
6569,-0.029686432313415896,107.0,bias|ma_conv,2026-01-30
3294,-0.042180726908969846,40.4,bias|ma_conv,2026-01-30
3171,0.018442443842321396,48.55,bias|ma_conv,2026-01-30
2377,-0.10678329757385706,93.1,bias|ma_conv,2026-01-30
6213,-0.04707935040338819,110.0,bias|ma_conv,2026-01-30
1736,-0.027861404565110343,148.5,bias|ma_conv,2026-01-30
5903,-0.006059549239286794,191.0,bias|ma_conv,2026-01-30
6767,0.0,28.6,ma_conv,2026-01-30
00924,0.009619526202440842,29.4,bias|ma_conv,2026-01-30
3713,-0.09696691176470601,20.1,bias,2026-01-30
2239,-0.13515423840056534,28.65,bias,2026-01-30
8472,-0.13844864902604193,61.9,bias|ma_conv,2026-01-30
3593,0.0,12.35,ma_conv,2026-01-30
2474,-0.009020140862473687,203.5,bias|ma_conv,2026-01-30
2743,-0.04180937518999655,80.5,bias|ma_conv,2026-01-30
2228,-0.06431417188389288,97.2,bias,2026-01-30
2434,-0.04099285445656256,29.75,bias|ma_conv,2026-01-30
1339,-0.0345737164390013,43.75,bias|ma_conv,2026-01-30
1229,-0.026637716464544686,46.4,bias|ma_conv,2026-01-30
6589,-0.0827762485253637,63.3,bias|ma_conv,2026-01-30
1104,-0.028187479514913127,30.1,bias|ma_conv,2026-01-30
8487,0.03390843867441058,82.3,ma_conv,2026-01-30
5871A,-0.0032075006168270697,101.0,bias|ma_conv,2026-01-30
3694,-0.05369342442356968,61.0,bias|ma_conv,2026-01-30
5312,-0.008848366584799492,98.6,bias|ma_conv,2026-01-30
8929,0.0,16.75,ma_conv,2026-01-30
00740B,-0.005703656200761678,39.02,bias|ma_conv,2026-01-30
1435,0.0,21.5,ma_conv,2026-01-30
00956,0.05754413771848715,12.03,ma_conv,2026-01-30
8906,0.012231126107127668,34.2,bias,2026-01-30
00642U,0.09300344057724039,17.22,ma_conv,2026-01-30
6165,-0.10699919549477077,43.6,bias,2026-01-30
8473,-0.011676116626700513,38.05,bias|ma_conv,2026-01-30
4551,-0.03335217637083101,116.5,bias|ma_conv,2026-01-30
6672,-0.018632861592262854,93.3,bias|ma_conv,2026-01-30
6228,-0.06378110401372877,25.25,bias|ma_conv,2026-01-30
00692,0.10712588047188969,64.35,ma_conv,2026-01-30
